step,online_acceptance_length,frozen_acceptance_length,delta,online_draft_loss,online_reward,frozen_reward,online_step_time_s,frozen_step_time_s
1,2.0997,2.0947,0.0050,0.7462,0.7101,0.6972,803.1,762.5
2,2.2961,2.2840,0.0122,0.6945,0.6573,0.6730,822.4,777.7
3,2.2376,2.2265,0.0111,0.6801,0.6379,0.6576,820.8,779.6
4,2.2174,2.2084,0.0090,0.7558,0.7003,0.7026,835.3,783.3
5,2.1910,2.1820,0.0090,0.7548,0.6577,0.6742,883.7,846.8
6,2.1355,2.0983,0.0371,0.8009,0.5957,0.5930,823.6,783.6
7,2.2510,2.2284,0.0226,0.7335,0.6501,0.6562,825.5,789.6
8,2.2593,2.2222,0.0370,0.7503,0.6425,0.6516,823.9,783.1
9,2.2622,2.2268,0.0354,0.7218,0.6731,0.6680,851.7,794.1
10,2.3643,2.2761,0.0882,0.7102,0.7131,0.7172,1060.0,1085.6
11,2.1759,2.1077,0.0682,0.6444,0.6832,0.6818,818.6,786.5
12,2.2761,2.1893,0.0868,0.7671,0.6256,0.6476,837.3,783.0
13,2.3074,2.2233,0.0841,0.7431,0.6850,0.6779,879.8,787.8
14,2.3711,2.2491,0.1220,0.7069,0.6479,0.6339,855.0,849.3
15,2.3052,2.2288,0.0764,0.6617,0.6901,0.6865,896.9,845.7
16,2.2506,2.1349,0.1158,0.7095,0.6344,0.6222,853.8,796.7
17,2.4070,2.2763,0.1307,0.6665,0.7799,0.7692,845.0,787.6
18,2.4228,2.2654,0.1574,0.6237,0.6934,0.6875,836.0,784.8
19,2.4165,2.2844,0.1321,0.6570,0.6558,0.6646,847.5,784.7
20,2.3594,2.2240,0.1354,0.6440,0.7176,0.7104,1053.7,1016.7
21,2.2490,2.0951,0.1539,0.6753,0.7492,0.7444,839.0,790.9
22,2.3813,2.2158,0.1654,0.6789,0.6399,0.6507,847.7,792.9
23,2.3791,2.2486,0.1305,0.6805,0.6923,0.6965,850.9,790.4
24,2.3731,2.1960,0.1770,0.6576,0.7268,0.7214,848.5,789.3
25,2.3918,2.2439,0.1479,0.6604,0.7029,0.6921,913.1,854.5
26,2.2868,2.1183,0.1685,0.6577,0.6903,0.6963,836.3,781.4
27,2.3877,2.2235,0.1642,0.6256,0.6746,0.6927,910.7,805.0
28,2.3991,2.2160,0.1831,0.6518,0.6658,0.6756,846.0,856.0
29,2.3780,2.2038,0.1742,0.6812,0.7507,0.7169,833.6,794.4
30,2.3302,2.1606,0.1696,0.6693,0.6687,0.6876,1076.6,1043.0
31,2.2928,2.0818,0.2110,0.7034,0.7067,0.7147,857.0,799.3
32,2.4340,2.2159,0.2180,0.6691,0.6679,0.6597,845.2,786.2
33,2.3918,2.1725,0.2193,0.6561,0.7128,0.6995,850.1,791.7
34,2.4564,2.2246,0.2318,0.6811,0.6793,0.6936,860.0,790.4
35,2.4426,2.2115,0.2310,0.6334,0.7897,0.7695,915.4,849.2
36,2.2669,2.0334,0.2335,0.6658,0.7764,0.7621,839.2,774.0
37,2.4029,2.2011,0.2018,0.7070,0.7027,0.7073,854.8,790.8
38,2.4092,2.1825,0.2267,0.6795,0.7581,0.7712,856.1,786.9
39,2.3621,2.1530,0.2091,0.6832,0.7222,0.7269,862.2,788.0
40,2.3406,2.1363,0.2044,0.6978,0.7246,0.7192,1124.5,1105.3
