step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
0,,,,0.6416666507720947,,,,,,,,,219.3843227569887,,,
1,,,,,0.2782627578735628,0.0011350095051696485,0.7088867425918579,1.2587890625,0.2587890625,6411.146484375,83.8260546875,6411.146484375,,309.3315531979897,0.5452339890034636,22806.070969793844
2,,,,,0.2826234252145241,0.0011485763855159092,0.662109375,1.1630859375,0.1630859375,6640.5224609375,87.7722412109375,6640.5224609375,,325.273418924,12.197925658998429,22392.845831351256
3,,,,,0.2586909707270024,0.0010516183034425808,0.65576171875,1.22265625,0.224609375,6974.3759765625,89.3855126953125,6974.3759765625,,326.2146610380005,0.719478134997189,23416.412657566685
4,,,,,0.3030018627805475,0.00125707248344753,0.6895507574081421,1.1982421875,0.1982421875,6300.7607421875,80.233564453125,6300.7607421875,,337.11134931798733,41.272413308004616,20551.600681492277
5,,,,,0.3092029168544741,0.0012364592363276472,0.6517578363418579,1.1474609375,0.1474609375,6601.9462890625,84.249052734375,6601.9462890625,,365.7582068240008,0.7768685300106881,23721.723153534407
6,,,,,0.3234181049210747,0.001291827528593359,0.59375,1.26953125,0.26953125,6484.083984375,84.213220703125,6484.083984375,,311.99965746700764,2.1077556450036354,22827.179759324557
7,,,,,0.29397555490299965,0.0012025642177633245,0.653124988079071,1.1865234375,0.1875,6583.8525390625,83.8350009765625,6583.8525390625,,316.5106742659991,5.02621027699206,22809.057348738934
8,,,,,0.3097073471922158,0.0012574727950322995,0.64599609375,1.2314453125,0.2314453125,6181.9755859375,76.1184052734375,6181.9755859375,,311.9942250640015,20.732675963983638,21850.161013144858
9,,,,,0.3203775330989629,0.0012692576490209717,0.6435546875,1.181640625,0.181640625,6912.6396484375,90.2474755859375,6912.6396484375,,338.58770699500747,12.104411054009688,22374.09450583152
10,,,,0.6416666507720947,0.2886472156410491,0.001199384968714412,0.7144531011581421,1.3212890625,0.3212890625,6991.8271484375,91.43637109375,6991.8271484375,192.8599182170001,584.1183601730008,0.8620014140033163,23297.282747944435
11,,,,,0.28294308605927654,0.0012041834714260347,0.6826171875,1.2783203125,0.2783203125,7025.69140625,91.07584765625,7025.69140625,,323.78293361999386,0.7567269139981363,23731.127635438723
12,,,,,0.3123978967059884,0.0012151414005803218,0.649609386920929,1.326171875,0.326171875,6206.98828125,78.11803125,6206.98828125,,310.1423280960007,13.897177165999892,22097.127108718236
13,,,,,0.30943768659972193,0.0012351599069084784,0.6569335460662842,1.3447265625,0.3447265625,6225.650390625,78.218708984375,6225.650390625,,316.5586271869979,11.833826759000658,21721.734449180254
14,,,,,0.30763067548650724,0.001213645621888304,0.6398438215255737,1.314453125,0.314453125,7119.11328125,93.95617578125,7119.11328125,,332.00488824001513,0.8034327019995544,23473.621941448946
15,,,,,0.3095300260356453,0.0012404973851798395,0.7088867425918579,1.3583984375,0.361328125,6517.7841796875,82.9810595703125,6517.7841796875,,372.420695496985,4.125141516997246,22637.947243138144
16,,,,,0.32204825911412627,0.0013086571118954282,0.643847644329071,1.29296875,0.29296875,6647.419921875,84.57644140625,6647.419921875,,312.7078584220144,1.143889559985837,23363.962740011506
17,,,,,0.2953537105340729,0.0012410200125216875,0.7103515863418579,1.310546875,0.310546875,6575.58203125,82.13713671875,6575.58203125,,340.634593714989,31.914623156015296,21262.361376752764
18,,,,,0.3187869219013919,0.0013116708141396316,0.627246081829071,1.3818359375,0.3828125,7027.7890625,92.483767578125,7027.7890625,,331.3137105019996,1.2398687370296102,23245.50636577187
19,,,,,0.3160831158892279,0.0014302358391500292,0.7833983898162842,1.375,0.375,6006.8681640625,73.3831962890625,6006.8681640625,,317.27444091800135,24.05042597602005,21101.87246326792
20,,,,0.6583333611488342,0.28887091879323634,0.0013111611580285398,0.693359375,1.365234375,0.365234375,6391.7294921875,79.584666015625,6391.7294921875,194.7503896279959,561.5751624260156,0.862883159017656,23156.988971802057
21,,,,,0.32387808742623747,0.001519652790157977,0.6675781607627869,1.3876953125,0.3876953125,6212.9052734375,80.123720703125,6212.9052734375,,292.4946750490053,0.8062999400135595,23473.052145389338
22,,,,,0.3236853298049027,0.0012330325550138355,0.744433581829071,1.68359375,0.68359375,6823.2236328125,88.719826171875,6823.2236328125,,335.8783856740047,14.540810483973473,22458.13317809652
23,,,,,0.3216886589925707,0.0012568367409713233,0.6606444716453552,1.7548828125,0.755859375,6638.5302734375,83.685626953125,6638.5302734375,,333.3445142340206,18.893424731999403,21998.304008578256
24,,,,,0.3187592888743893,0.001261154582966384,0.668749988079071,1.578125,0.578125,6652.7353515625,86.05152636718749,6652.7353515625,,324.4004777900118,12.879108294990147,22626.978406078902
