step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/math_code_harbor_agent/num_model_calls/mean,train/vllm/request_decode_time_mean_s,train/vllm/request_prefill_time_mean_s,train/vllm/request_queue_time_mean_s,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
0,,,,0.6270833611488342,,,,,,,,,,,,,209.332518102834,,,
1,1,0,,,0.2804438463772385,0.0011385578761284876,0.7066406011581421,1.2412109375,0.2412109375,6335.1123046875,81.2981455078125,1.2412109375,70.50371556733076,0.030941654948700464,5.793136137521386e-06,6335.1123046875,,298.36950162495486,0.9113527019508183,23377.850891278445
2,1,0,,,0.2810275568945144,0.0011351768495764247,0.689257800579071,1.162109375,0.162109375,6653.4833984375,88.8160478515625,1.162109375,70.56110828093048,0.03206259514351983,4.730140412553178e-06,6653.4833984375,,364.57466316595674,49.683070241007954,20007.66990905124
3,1,0,,,0.2611537524517189,0.0010594027180985677,0.642871081829071,1.21875,0.2197265625,6928.2607421875,86.3198515625,1.21875,67.9500912163897,0.02858994663839129,4.6884169928545566e-05,6928.2607421875,,325.44791587092914,0.7681140250060707,23320.930916484984
4,1,0,,,0.3034962412616551,0.0012532863913765624,0.710156261920929,1.1865234375,0.1865234375,6305.271484375,80.925490234375,1.1865234375,72.0963610465835,0.029647639649400714,4.546922672146914e-06,6305.271484375,,342.23576706205495,49.09353657113388,20264.28003951879
5,1,0,,,0.3052235908653529,0.0012287745196886135,0.6485351324081421,1.1708984375,0.171875,6677.6728515625,84.72955078125,1.1708984375,63.78337892807504,0.02936090528426119,4.566420659183453e-06,6677.6728515625,,380.219019359909,10.711903041927144,22972.765332268245
6,1,0,,,0.32345442997757345,0.0013082487572404489,0.597363293170929,1.2763671875,0.2763671875,6414.9716796875,81.7371513671875,1.2763671875,69.72754095618579,0.028065378111427043,4.570807948890063e-06,6414.9716796875,,302.99759736889973,0.6888277879916131,23258.184587657208
7,1,0,,,0.2923633208956744,0.0012371823865997555,0.6578124761581421,1.15234375,0.15234375,6461.0615234375,80.644072265625,1.15234375,58.15945803471117,0.028185964043322128,4.466067749463278e-06,6461.0615234375,,313.6839076690376,6.586020692950115,22597.73764099339
8,1,0,,,0.30654788889341944,0.001271255410514982,0.646484375,1.248046875,0.248046875,6037.6015625,72.8868935546875,1.248046875,75.5969755469824,0.03021517127986485,4.686403886685896e-06,6037.6015625,,338.9135621441528,53.31214988976717,19650.325943654836
9,1,0,,,0.31506333931338304,0.0012710005823031167,0.6612304449081421,1.1787109375,0.1787109375,6919.1630859375,89.42566113281251,1.1787109375,66.73655746571774,0.02992269531434508,4.613913636383462e-06,6919.1630859375,,340.694606235018,14.349592636805028,22244.48276281676
10,1,0,,0.643750011920929,0.2866447087317283,0.0012185421966819376,0.7080078125,1.3349609375,0.3349609375,6954.2841796875,89.44127734375,1.3349609375,67.34098832742946,0.028882475819242703,4.576863398469482e-06,6954.2841796875,179.0477080589626,630.8505573570728,7.305622750893235,22939.580309525947
11,1,0,,,0.27850091057530335,0.0012168644744114943,0.691699206829071,1.2900390625,0.2900390625,6857.3818359375,87.2091435546875,1.2900390625,57.77704954178489,0.06041742126451423,7.578870848728678e-06,6857.3818359375,,315.95899179112166,0.7240556157194078,23769.432144367805
12,1,0,,,0.31281266121231965,0.001243658902918554,0.6324218511581421,1.3291015625,0.3291015625,6185,74.7895673828125,1.3291015625,57.915114895697364,0.030401200436279592,4.523183035902199e-06,6185,,345.54651066916995,50.797207467025146,19726.574168988467
13,1,0,,,0.30049037875687645,0.0012369214598102474,0.6749023795127869,1.3798828125,0.3798828125,6309.91015625,80.264859375,1.3798828125,69.69825382878516,0.03034913164755095,4.531143307108024e-06,6309.91015625,,354.65079104295,53.015807449119166,19601.131846892924
14,1,0,,,0.3027556466436181,0.0012445552550399697,0.6415039300918579,1.337890625,0.337890625,7204.4072265625,93.613189453125,1.337890625,60.257046674246006,0.029921536689926143,4.340558544671777e-06,7204.4072265625,,336.9003957710229,2.246373414993286,23370.00716606181
15,1,0,,,0.30650689346089166,0.0012884345556569698,0.7007812261581421,1.375,0.3779296875,6588.5888671875,83.2015576171875,1.375,66.34985359990246,0.02835999949627319,4.46521686341099e-06,6588.5888671875,,394.8865108510945,30.883809556020424,21364.016905590895
16,1,0,,,0.3113213595124762,0.0013514696678171845,0.646484375,1.30078125,0.30078125,6753.984375,86.64004296875,1.30078125,60.33873235168436,0.028912485573017416,4.3977155163479825e-06,6753.984375,,309.97502025589347,0.7361818319186568,23898.759854826727
