step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
0,,,,0.637499988079071,,,,,,,,,160.71529940800974,,,
1,2.094730357000776,0.36491011900025866,,,0.27859972932219534,0.001128143669532733,0.6971679329872131,1.2158203125,0.216796875,6320.5947265625,43.890984375,6320.5947265625,,762.546504324011,0.9173821799922734,9087.064085363127
2,2.283960464813209,0.4279868216044029,,,0.2790284949664965,0.001122364304396939,0.673046886920929,1.1708984375,0.1708984375,6777.9150390625,47.4564716796875,6777.9150390625,,777.7297437000088,1.4872437100857496,9512.041839669891
3,2.2265201578559632,0.4088400526186544,,,0.2623443860647967,0.0010539990410620703,0.6576172113418579,1.248046875,0.248046875,6998.9462890625,47.45675390625,6998.9462890625,,779.5612610979588,0.7555354490759782,9799.297838343124
4,2.2083669112506055,0.4027889704168685,,,0.3031563426407047,0.0012607772621144875,0.70263671875,1.20703125,0.2080078125,6402.6015625,44.4699560546875,6402.6015625,,783.323905961006,0.7014686660259031,8949.459903120312
5,2.1819923461696265,0.39399744872320885,,,0.3064905620688023,0.0012226293971018265,0.6742187738418579,1.1669921875,0.1669921875,6526.287109375,46.139873046875,6526.287109375,,846.8227465209784,0.6768828450585715,9130.8174063867
6,2.0983276454974567,0.36610921516581896,,,0.3237889173333315,0.001295869463543653,0.592968761920929,1.248046875,0.2490234375,6373.6875,44.988564453125,6373.6875,,783.6475224500173,0.6858916680212133,8903.121102542505
7,2.2283944233903235,0.4094648077967746,,,0.29166890509623045,0.0011942132997919686,0.65625,1.1611328125,0.1611328125,6537.546875,45.2757744140625,6537.546875,,789.5599465389969,0.7288166000507772,9045.007782718212
8,2.222247195063363,0.4074158628754447,,,0.3050089000216758,0.001247186783771781,0.651562511920929,1.1923828125,0.1923828125,6208.48828125,43.077505859375,6208.48828125,,783.0574178640381,0.6819722590153106,8700.13822527766
9,2.2267893717642027,0.4089299203626781,,,0.31188123435686066,0.001238010385620214,0.66796875,1.1748046875,0.1748046875,6841.498046875,48.469224609375,6841.498046875,,794.0982973779901,0.6741328259813599,9411.711742989655
10,2.2760968289905765,0.4253656096635255,,0.6499999761581421,0.2841403130951221,0.0011783105654394888,0.7171875238418579,1.3310546875,0.33203125,6909.912109375,49.2309775390625,6909.912109375,171.37610372097697,1085.6104211219936,0.7223186829942279,9534.51964496361
11,2.1077385028079396,0.3692461676026465,,,0.2749683406721033,0.0011481194398994532,0.681835949420929,1.296875,0.298828125,6982.3359375,47.4723759765625,6982.3359375,,786.5079383389675,0.735538002976682,9673.342179688649
12,2.189296262950764,0.3964320876502546,,,0.30617646982409497,0.001244923237358364,0.6475586295127869,1.2568359375,0.2568359375,6242.2509765625,42.5116953125,6242.2509765625,,782.9776913300157,1.977885197964497,8745.938453822859
13,2.2232960955510865,0.4077655735300955,,,0.2995415146820051,0.0012248236610368224,0.677929699420929,1.3193359375,0.322265625,6307.5498046875,44.298171875,6307.5498046875,,787.8215400170302,0.7421007689554244,8786.001503819147
14,2.249067812283296,0.4163559374277652,,,0.2972385550688159,0.0012034879592164316,0.6338867545127869,1.2265625,0.2265625,7134.220703125,51.277509765625,7134.220703125,,849.3412812130409,0.7080675539909862,9787.44564456544
15,2.2287958690902494,0.4095986648503644,,,0.29913132207059334,0.001229768044233026,0.6865234375,1.291015625,0.29296875,6747.1064453125,46.1366884765625,6747.1064453125,,845.7038527799305,1.1684521520510316,9405.158949385494
16,2.1348603386010954,0.3782867795336984,,,0.3016375813808736,0.0012102933532212035,0.6221679449081421,1.34375,0.3447265625,7150.91796875,50.196771484375,7150.91796875,,796.6563660281245,0.739551804959774,9778.93016755395
17,2.276268174196761,0.42542272473225373,,,0.3011391293687211,0.001250292431721256,0.769238293170929,1.36328125,0.36328125,6280.291015625,40.8270048828125,6280.291015625,,787.6153304358013,0.7429043650627136,8784.138037159142
18,2.2653950723754686,0.42179835745848954,,,0.26991296839469214,0.0011336083046629142,0.6875,1.3017578125,0.3017578125,6547.6298828125,43.341168945312496,6547.6298828125,,784.8317634582054,0.7011438608169556,9131.132300017749
19,2.2844423815350856,0.4281474605116953,,,0.30632454696751665,0.001285920040558608,0.66455078125,1.328125,0.328125,6353.201171875,43.4996171875,6353.201171875,,784.6851397128776,0.737719401018694,8889.824084913886
20,2.22398636667873,0.4079954555595766,,0.6791666746139526,0.2814416714941217,0.0011900334033398963,0.7103515267372131,1.373046875,0.373046875,6341.548828125,41.44301171875,6341.548828125,121.41447148495354,1016.6615545060486,1.0635724270250648,8882.213745197465
21,2.095117205835531,0.3650393708088111,,,0.30005117998189235,0.0012755565644653188,0.744433581829071,1.4736328125,0.4736328125,7335.7568359375,51.5078603515625,7335.7568359375,,790.8886094349436,0.7939815057907254,10110.603927384494
22,2.2158326736866094,0.4052775578955365,,,0.303227962478104,0.0012299544680072216,0.650683581829071,1.4111328125,0.4111328125,6971.796875,47.8233828125,6971.796875,,792.9292058481369,0.7764497040770948,9606.885719743972
23,2.2485762142956336,0.416192071431878,,,0.3059482167946044,0.0013052432818518866,0.696484386920929,1.6787109375,0.6875,6884.962890625,47.9849794921875,6884.962890625,,790.3964951010421,0.8974236249923706,9593.67743267847
24,2.1960165962356584,0.39867219874521936,,,0.29445303650754795,0.0012561844168459402,0.721386730670929,1.4423828125,0.4423828125,6929.60546875,47.859566406249996,6929.60546875,,789.2995846630074,0.8006495630834252,9624.04327924587
25,2.2438772620434717,0.41462575401449064,,,0.2927449585595241,0.0012761038556092785,0.6920897960662842,1.4521484375,0.4521484375,7435.013671875,53.6756162109375,7435.013671875,,854.4978232849389,0.7964862058870494,10149.278044795348
26,2.118264358146639,0.3727550694702222,,,0.30042245918252775,0.0013225959715335023,0.6962890625,1.388671875,0.388671875,6635.4013671875,44.5649521484375,6635.4013671875,,781.4443125899415,0.7657880468759686,9320.951043567395
27,2.2235154359930083,0.40783847866433615,,,0.28085729852728036,0.0013416203114218206,0.6926758289337158,1.60546875,0.60546875,7363.9755859375,52.7009306640625,7363.9755859375,,805.0216198349372,0.8472051019780338,9985.934873585193
28,2.2160080325390377,0.4053360108463458,,,0.2932730712909688,0.0014481092908198434,0.6755859851837158,1.62890625,0.62890625,7679.1005859375,56.6613994140625,7679.1005859375,,855.9550189850852,1.0086661919485778,10469.124023716291
